Time_Sec,Amplitude
0.000000,0.000031
0.033333,0.000014
0.066667,0.000000
0.100000,-0.000007
0.133333,-0.000009
0.166667,-0.000006
0.200000,-0.000000
0.233333,0.000005
0.266667,0.000005
0.300000,-0.000009
0.333333,-0.000046
0.366667,-0.000105
0.400000,-0.000179
0.433333,-0.000251
0.466667,-0.000298
0.500000,-0.000304
0.533333,-0.000263
0.566667,-0.000180
0.600000,-0.000073
0.633333,0.000035
0.666667,0.000122
0.700000,0.000175
0.733333,0.000193
0.766667,0.000185
0.800000,0.000162
0.833333,0.000136
0.866667,0.000115
0.900000,0.000100
0.933333,0.000086
0.966667,0.000066
1.000000,0.000038
1.033333,0.000002
1.066667,-0.000032
1.100000,-0.000055
1.133333,-0.000059
1.166667,-0.000039
1.200000,0.000001
1.233333,0.000051
1.266667,0.000095
1.300000,0.000118
1.333333,0.000109
1.366667,0.000068
1.400000,0.000003
1.433333,-0.000071
1.466667,-0.000136
1.500000,-0.000178
1.533333,-0.000191
1.566667,-0.000176
1.600000,-0.000140
1.633333,-0.000093
1.666667,-0.000046
1.700000,-0.000004
1.733333,0.000031
1.766667,0.000061
1.800000,0.000089
1.833333,0.000116
1.866667,0.000142
1.900000,0.000163
1.933333,0.000171
1.966667,0.000162
2.000000,0.000132
2.033333,0.000086
2.066667,0.000030
2.100000,-0.000025
2.133333,-0.000068
2.166667,-0.000093
2.200000,-0.000100
2.233333,-0.000093
2.266667,-0.000081
2.300000,-0.000075
2.333333,-0.000080
2.366667,-0.000096
2.400000,-0.000116
2.433333,-0.000132
2.466667,-0.000134
2.500000,-0.000118
2.533333,-0.000084
2.566667,-0.000037
2.600000,0.000014
2.633333,0.000059
2.666667,0.000094
2.700000,0.000117
2.733333,0.000131
2.766667,0.000141
2.800000,0.000150
2.833333,0.000156
2.866667,0.000154
2.900000,0.000138
2.933333,0.000101
2.966667,0.000044
3.000000,-0.000027
3.033333,-0.000099
3.066667,-0.000152
3.100000,-0.000173
3.133333,-0.000155
3.166667,-0.000103
3.200000,-0.000031
3.233333,0.000039
3.266667,0.000086
3.300000,0.000094
3.333333,0.000057
3.366667,-0.000015
3.400000,-0.000101
3.433333,-0.000177
3.466667,-0.000218
3.500000,-0.000209
3.533333,-0.000146
3.566667,-0.000043
3.600000,0.000080
3.633333,0.000194
3.666667,0.000272
3.700000,0.000298
3.733333,0.000267
3.766667,0.000190
3.800000,0.000086
3.833333,-0.000019
3.866667,-0.000100
3.900000,-0.000142
3.933333,-0.000144
3.966667,-0.000117
4.000000,-0.000080
4.033333,-0.000051
4.066667,-0.000038
4.100000,-0.000042
4.133333,-0.000053
4.166667,-0.000061
4.200000,-0.000055
4.233333,-0.000031
4.266667,0.000008
4.300000,0.000053
4.333333,0.000090
4.366667,0.000111
4.400000,0.000110
4.433333,0.000089
4.466667,0.000055
4.500000,0.000018
4.533333,-0.000014
4.566667,-0.000034
4.600000,-0.000044
4.633333,-0.000048
4.666667,-0.000049
4.700000,-0.000052
4.733333,-0.000054
4.766667,-0.000054
4.800000,-0.000048
4.833333,-0.000034
4.866667,-0.000012
4.900000,0.000015
4.933333,0.000038
4.966667,0.000051
5.000000,0.000049
5.033333,0.000035
5.066667,0.000014
5.100000,-0.000004
5.133333,-0.000012
5.166667,-0.000003
5.200000,0.000019
5.233333,0.000049
5.266667,0.000075
5.300000,0.000085
5.333333,0.000074
5.366667,0.000042
5.400000,-0.000003
5.433333,-0.000047
5.466667,-0.000077
5.500000,-0.000083
5.533333,-0.000064
5.566667,-0.000027
5.600000,0.000015
5.633333,0.000045
5.666667,0.000051
5.700000,0.000031
5.733333,-0.000011
5.766667,-0.000060
5.800000,-0.000104
5.833333,-0.000129
5.866667,-0.000129
5.900000,-0.000107
5.933333,-0.000069
5.966667,-0.000026
6.000000,0.000011
6.033333,0.000038
6.066667,0.000053
6.100000,0.000061
6.133333,0.000064
6.166667,0.000068
6.200000,0.000075
6.233333,0.000082
6.266667,0.000087
6.300000,0.000085
6.333333,0.000071
6.366667,0.000047
6.400000,0.000018
6.433333,-0.000009
6.466667,-0.000026
6.500000,-0.000029
6.533333,-0.000021
6.566667,-0.000005
6.600000,0.000010
6.633333,0.000017
6.666667,0.000010
6.700000,-0.000008
6.733333,-0.000034
6.766667,-0.000058
6.800000,-0.000073
6.833333,-0.000073
6.866667,-0.000057
6.900000,-0.000029
6.933333,0.000003
6.966667,0.000028
7.000000,0.000039
7.033333,0.000034
7.066667,0.000019
7.100000,-0.000001
7.133333,-0.000016
7.166667,-0.000022
7.200000,-0.000019
7.233333,-0.000011
7.266667,-0.000006
7.300000,-0.000010
7.333333,-0.000026
7.366667,-0.000050
7.400000,-0.000073
7.433333,-0.000085
7.466667,-0.000078
7.500000,-0.000049
7.533333,-0.000001
7.566667,0.000055
7.600000,0.000106
7.633333,0.000139
7.666667,0.000145
7.700000,0.000124
7.733333,0.000084
7.766667,0.000039
7.800000,0.000002
7.833333,-0.000018
7.866667,-0.000018
7.900000,-0.000004
7.933333,0.000015
7.966667,0.000025
8.000000,0.000018
8.033333,-0.000006
8.066667,-0.000041
8.100000,-0.000074
8.133333,-0.000092
8.166667,-0.000087
8.200000,-0.000058
8.233333,-0.000014
8.266667,0.000032
8.300000,0.000061
8.333333,0.000062
8.366667,0.000033
8.400000,-0.000017
8.433333,-0.000072
8.466667,-0.000113
8.500000,-0.000124
8.533333,-0.000101
8.566667,-0.000051
8.600000,0.000012
8.633333,0.000069
8.666667,0.000106
8.700000,0.000116
8.733333,0.000101
8.766667,0.000070
8.800000,0.000036
8.833333,0.000010
8.866667,-0.000005
8.900000,-0.000008
8.933333,-0.000007
8.966667,-0.000008
9.000000,-0.000016
9.033333,-0.000033
9.066667,-0.000051
9.100000,-0.000063
9.133333,-0.000063
9.166667,-0.000046
9.200000,-0.000016
9.233333,0.000020
9.266667,0.000052
9.300000,0.000069
9.333333,0.000066
9.366667,0.000044
9.400000,0.000010
9.433333,-0.000022
9.466667,-0.000042
9.500000,-0.000044
9.533333,-0.000026
9.566667,0.000004
9.600000,0.000037
9.633333,0.000058
9.666667,0.000060
9.700000,0.000042
9.733333,0.000008
9.766667,-0.000028
9.800000,-0.000055
9.833333,-0.000064
9.866667,-0.000054
9.900000,-0.000031
9.933333,-0.000004
9.966667,0.000015
10.000000,0.000021
10.033333,0.000011
10.066667,-0.000007
10.100000,-0.000024
10.133333,-0.000031
10.166667,-0.000023
10.200000,0.000001
10.233333,0.000034
10.266667,0.000064
10.300000,0.000081
10.333333,0.000077
10.366667,0.000052
10.400000,0.000013
10.433333,-0.000028
10.466667,-0.000057
10.500000,-0.000065
10.533333,-0.000050
10.566667,-0.000018
10.600000,0.000020
10.633333,0.000047
10.666667,0.000051
10.700000,0.000029
10.733333,-0.000015
10.766667,-0.000068
10.800000,-0.000111
10.833333,-0.000132
10.866667,-0.000121
10.900000,-0.000082
10.933333,-0.000026
10.966667,0.000031
11.000000,0.000073
11.033333,0.000092
11.066667,0.000089
11.100000,0.000073
11.133333,0.000053
11.166667,0.000038
11.200000,0.000033
11.233333,0.000036
11.266667,0.000038
11.300000,0.000033
11.333333,0.000015
11.366667,-0.000013
11.400000,-0.000043
11.433333,-0.000064
11.466667,-0.000064
11.500000,-0.000040
11.533333,0.000004
11.566667,0.000055
11.600000,0.000096
11.633333,0.000111
11.666667,0.000092
11.700000,0.000041
11.733333,-0.000031
11.766667,-0.000104
11.800000,-0.000158
11.833333,-0.000178
11.866667,-0.000157
11.900000,-0.000098
11.933333,-0.000016
11.966667,0.000070
12.000000,0.000139
12.033333,0.000175
12.066667,0.000172
12.100000,0.000134
12.133333,0.000072
12.166667,0.000002
12.200000,-0.000062
12.233333,-0.000109
12.266667,-0.000139
12.300000,-0.000152
12.333333,-0.000155
12.366667,-0.000149
12.400000,-0.000132
12.433333,-0.000101
12.466667,-0.000055
12.500000,0.000001
12.533333,0.000060
12.566667,0.000110
12.600000,0.000142
12.633333,0.000151
12.666667,0.000138
12.700000,0.000110
12.733333,0.000078
12.766667,0.000051
12.800000,0.000037
12.833333,0.000038
12.866667,0.000050
12.900000,0.000065
12.933333,0.000072
12.966667,0.000062
13.000000,0.000033
13.033333,-0.000012
13.066667,-0.000062
13.100000,-0.000101
13.133333,-0.000120
13.166667,-0.000113
13.200000,-0.000085
13.233333,-0.000046
13.266667,-0.000012
13.300000,0.000003
13.333333,-0.000004
13.366667,-0.000029
13.400000,-0.000058
13.433333,-0.000076
13.466667,-0.000070
13.500000,-0.000035
13.533333,0.000022
13.566667,0.000088
13.600000,0.000144
13.633333,0.000170
13.666667,0.000155
13.700000,0.000100
13.733333,0.000018
13.766667,-0.000072
13.800000,-0.000149
13.833333,-0.000196
13.866667,-0.000203
13.900000,-0.000171
13.933333,-0.000111
13.966667,-0.000041
14.000000,0.000020
14.033333,0.000061
14.066667,0.000079
14.100000,0.000079
14.133333,0.000068
14.166667,0.000057
14.200000,0.000051
14.233333,0.000053
14.266667,0.000057
14.300000,0.000057
14.333333,0.000048
14.366667,0.000029
14.400000,0.000004
14.433333,-0.000019
14.466667,-0.000032
14.500000,-0.000031
14.533333,-0.000016
14.566667,0.000006
14.600000,0.000028
14.633333,0.000041
14.666667,0.000039
14.700000,0.000022
14.733333,-0.000005
14.766667,-0.000033
14.800000,-0.000052
14.833333,-0.000055
14.866667,-0.000041
14.900000,-0.000014
14.933333,0.000017
14.966667,0.000039
15.000000,0.000046
15.033333,0.000036
15.066667,0.000015
15.100000,-0.000007
15.133333,-0.000021
15.166667,-0.000022
15.200000,-0.000006
15.233333,0.000021
15.266667,0.000050
15.300000,0.000071
15.333333,0.000078
15.366667,0.000068
15.400000,0.000045
15.433333,0.000017
15.466667,-0.000009
15.500000,-0.000027
15.533333,-0.000038
15.566667,-0.000049
15.600000,-0.000067
15.633333,-0.000098
15.666667,-0.000143
15.700000,-0.000193
15.733333,-0.000237
15.766667,-0.000257
15.800000,-0.000244
15.833333,-0.000194
15.866667,-0.000115
15.900000,-0.000021
15.933333,0.000068
15.966667,0.000138
16.000000,0.000180
16.033333,0.000195
16.066667,0.000193
16.100000,0.000187
16.133333,0.000188
16.166667,0.000203
16.200000,0.000227
16.233333,0.000249
16.266667,0.000252
16.300000,0.000223
16.333333,0.000157
16.366667,0.000061
16.400000,-0.000047
16.433333,-0.000142
16.466667,-0.000205
16.500000,-0.000224
16.533333,-0.000202
16.566667,-0.000153
16.600000,-0.000096
16.633333,-0.000051
16.666667,-0.000030
16.700000,-0.000033
16.733333,-0.000051
16.766667,-0.000070
16.800000,-0.000077
16.833333,-0.000067
16.866667,-0.000040
16.900000,-0.000007
16.933333,0.000022
16.966667,0.000035
17.000000,0.000027
17.033333,-0.000000
17.066667,-0.000037
17.100000,-0.000070
17.133333,-0.000087
17.166667,-0.000082
17.200000,-0.000053
17.233333,-0.000010
17.266667,0.000037
17.300000,0.000073
17.333333,0.000089
17.366667,0.000083
17.400000,0.000062
17.433333,0.000035
17.466667,0.000014
17.500000,0.000009
17.533333,0.000021
17.566667,0.000046
17.600000,0.000076
17.633333,0.000098
17.666667,0.000105
17.700000,0.000093
17.733333,0.000066
17.766667,0.000031
17.800000,-0.000004
17.833333,-0.000033
17.866667,-0.000053
17.900000,-0.000067
17.933333,-0.000077
17.966667,-0.000087
18.000000,-0.000100
18.033333,-0.000112
18.066667,-0.000117
18.100000,-0.000109
18.133333,-0.000083
18.166667,-0.000037
18.200000,0.000020
18.233333,0.000080
18.266667,0.000128
18.300000,0.000153
18.333333,0.000148
18.366667,0.000116
18.400000,0.000068
18.433333,0.000018
18.466667,-0.000021
18.500000,-0.000041
18.533333,-0.000040
18.566667,-0.000026
18.600000,-0.000007
18.633333,0.000005
18.666667,0.000002
18.700000,-0.000015
18.733333,-0.000041
18.766667,-0.000065
18.800000,-0.000078
18.833333,-0.000072
18.866667,-0.000049
18.900000,-0.000013
18.933333,0.000023
18.966667,0.000048
19.000000,0.000053
19.033333,0.000037
19.066667,0.000008
19.100000,-0.000025
19.133333,-0.000048
19.166667,-0.000054
19.200000,-0.000041
19.233333,-0.000013
19.266667,0.000021
19.300000,0.000048
19.333333,0.000061
19.366667,0.000056
19.400000,0.000038
19.433333,0.000016
19.466667,-0.000003
19.500000,-0.000011
19.533333,-0.000008
19.566667,0.000003
19.600000,0.000014
19.633333,0.000017
19.666667,0.000007
19.700000,-0.000016
19.733333,-0.000045
19.766667,-0.000073
19.800000,-0.000089
19.833333,-0.000088
19.866667,-0.000068
19.900000,-0.000033
19.933333,0.000010
19.966667,0.000049
20.000000,0.000074
20.033333,0.000082
20.066667,0.000073
20.100000,0.000056
20.133333,0.000040
20.166667,0.000035
20.200000,0.000044
20.233333,0.000064
20.266667,0.000085
20.300000,0.000096
20.333333,0.000086
20.366667,0.000053
20.400000,0.000002
20.433333,-0.000054
20.466667,-0.000102
20.500000,-0.000130
20.533333,-0.000132
20.566667,-0.000111
20.600000,-0.000079
20.633333,-0.000049
20.666667,-0.000030
20.700000,-0.000027
20.733333,-0.000033
20.766667,-0.000040
20.800000,-0.000038
20.833333,-0.000022
20.866667,0.000005
20.900000,0.000038
20.933333,0.000065
20.966667,0.000078
21.000000,0.000069
21.033333,0.000044
21.066667,0.000011
21.100000,-0.000017
21.133333,-0.000027
21.166667,-0.000016
21.200000,0.000015
21.233333,0.000055
21.266667,0.000090
21.300000,0.000105
21.333333,0.000093
21.366667,0.000054
21.400000,-0.000001
21.433333,-0.000056
21.466667,-0.000095
21.500000,-0.000107
21.533333,-0.000091
21.566667,-0.000055
21.600000,-0.000011
21.633333,0.000024
21.666667,0.000040
21.700000,0.000031
21.733333,0.000003
21.766667,-0.000034
21.800000,-0.000066
21.833333,-0.000081
21.866667,-0.000073
21.900000,-0.000043
21.933333,-0.000002
21.966667,0.000036
22.000000,0.000058
22.033333,0.000059
22.066667,0.000044
22.100000,0.000023
22.133333,0.000009
22.166667,0.000010
22.200000,0.000029
22.233333,0.000057
22.266667,0.000083
22.300000,0.000093
22.333333,0.000080
22.366667,0.000047
22.400000,0.000005
22.433333,-0.000033
22.466667,-0.000055
22.500000,-0.000056
22.533333,-0.000039
22.566667,-0.000012
22.600000,0.000015
22.633333,0.000028
22.666667,0.000022
22.700000,-0.000003
22.733333,-0.000037
22.766667,-0.000071
22.800000,-0.000091
22.833333,-0.000091
22.866667,-0.000070
22.900000,-0.000035
22.933333,-0.000000
22.966667,0.000021
23.000000,0.000018
23.033333,-0.000010
23.066667,-0.000055
23.100000,-0.000102
23.133333,-0.000135
23.166667,-0.000143
23.200000,-0.000122
23.233333,-0.000075
23.266667,-0.000013
23.300000,0.000051
23.333333,0.000107
23.366667,0.000150
23.400000,0.000179
23.433333,0.000200
23.466667,0.000215
23.500000,0.000227
23.533333,0.000233
23.566667,0.000226
23.600000,0.000199
23.633333,0.000146
23.666667,0.000068
23.700000,-0.000027
23.733333,-0.000124
23.766667,-0.000207
23.800000,-0.000259
23.833333,-0.000271
23.866667,-0.000244
23.900000,-0.000188
23.933333,-0.000117
23.966667,-0.000052
24.000000,-0.000009
24.033333,0.000007
24.066667,-0.000002
24.100000,-0.000025
24.133333,-0.000049
24.166667,-0.000060
24.200000,-0.000053
24.233333,-0.000029
24.266667,0.000002
24.300000,0.000029
24.333333,0.000043
24.366667,0.000040
24.400000,0.000026
24.433333,0.000010
24.466667,0.000004
24.500000,0.000013
24.533333,0.000037
24.566667,0.000070
24.600000,0.000101
24.633333,0.000119
24.666667,0.000119
24.700000,0.000102
24.733333,0.000075
24.766667,0.000047
24.800000,0.000026
24.833333,0.000015
24.866667,0.000012
24.900000,0.000012
24.933333,0.000007
24.966667,-0.000008
25.000000,-0.000033
25.033333,-0.000059
25.066667,-0.000078
25.100000,-0.000080
25.133333,-0.000060
25.166667,-0.000023
25.200000,0.000023
25.233333,0.000061
25.266667,0.000079
25.300000,0.000068
25.333333,0.000027
25.366667,-0.000035
25.400000,-0.000101
25.433333,-0.000154
25.466667,-0.000181
25.500000,-0.000177
25.533333,-0.000146
25.566667,-0.000099
25.600000,-0.000052
25.633333,-0.000017
25.666667,-0.000001
25.700000,-0.000002
25.733333,-0.000011
25.766667,-0.000014
25.800000,-0.000000
25.833333,0.000035
25.866667,0.000090
25.900000,0.000156
25.933333,0.000218
25.966667,0.000261
26.000000,0.000270
26.033333,0.000241
26.066667,0.000177
26.100000,0.000089
26.133333,-0.000002
26.166667,-0.000080
26.200000,-0.000129
26.233333,-0.000146
26.266667,-0.000135
26.300000,-0.000109
26.333333,-0.000080
26.366667,-0.000058
26.400000,-0.000046
26.433333,-0.000043
26.466667,-0.000044
26.500000,-0.000045
26.533333,-0.000044
26.566667,-0.000043
26.600000,-0.000043
26.633333,-0.000047
26.666667,-0.000053
26.700000,-0.000055
26.733333,-0.000048
26.766667,-0.000026
26.800000,0.000012
26.833333,0.000060
26.866667,0.000109
26.900000,0.000146
26.933333,0.000159
26.966667,0.000139
27.000000,0.000085
27.033333,0.000006
27.066667,-0.000080
27.100000,-0.000152
27.133333,-0.000190
27.166667,-0.000184
27.200000,-0.000135
27.233333,-0.000057
27.266667,0.000030
27.300000,0.000102
27.333333,0.000144
27.366667,0.000151
27.400000,0.000128
27.433333,0.000088
27.466667,0.000047
27.500000,0.000019
27.533333,0.000009
27.566667,0.000016
27.600000,0.000030
27.633333,0.000039
27.666667,0.000031
27.700000,0.000003
27.733333,-0.000042
27.766667,-0.000092
27.800000,-0.000131
27.833333,-0.000146
27.866667,-0.000129
27.900000,-0.000083
27.933333,-0.000021
27.966667,0.000040
28.000000,0.000083
28.033333,0.000099
28.066667,0.000088
28.100000,0.000058
28.133333,0.000020
28.166667,-0.000013
28.200000,-0.000033
28.233333,-0.000038
28.266667,-0.000033
28.300000,-0.000025
28.333333,-0.000020
28.366667,-0.000023
28.400000,-0.000029
28.433333,-0.000034
28.466667,-0.000031
28.500000,-0.000015
28.533333,0.000013
28.566667,0.000045
28.600000,0.000072
28.633333,0.000085
28.666667,0.000076
28.700000,0.000050
28.733333,0.000013
28.766667,-0.000022
28.800000,-0.000043
28.833333,-0.000045
28.866667,-0.000027
28.900000,0.000003
28.933333,0.000032
28.966667,0.000048
29.000000,0.000044
29.033333,0.000020
29.066667,-0.000016
29.100000,-0.000051
29.133333,-0.000075
29.166667,-0.000077
29.200000,-0.000059
29.233333,-0.000025
29.266667,0.000011
29.300000,0.000037
29.333333,0.000043
29.366667,0.000026
29.400000,-0.000006
29.433333,-0.000041
29.466667,-0.000065
29.500000,-0.000070
29.533333,-0.000052
29.566667,-0.000017
29.600000,0.000025
29.633333,0.000058
29.666667,0.000075
29.700000,0.000071
29.733333,0.000052
29.766667,0.000028
29.800000,0.000011
29.833333,0.000008
29.866667,0.000020
29.900000,0.000041
29.933333,0.000059
29.966667,0.000065
30.000000,0.000050
30.033333,0.000017
30.066667,-0.000025
30.100000,-0.000063
30.133333,-0.000084
30.166667,-0.000083
30.200000,-0.000058
30.233333,-0.000021
30.266667,0.000017
30.300000,0.000040
30.333333,0.000041
30.366667,0.000018
30.400000,-0.000019
30.433333,-0.000057
30.466667,-0.000083
30.500000,-0.000089
30.533333,-0.000073
30.566667,-0.000042
30.600000,-0.000009
30.633333,0.000016
30.666667,0.000023
30.700000,0.000014
30.733333,-0.000003
30.766667,-0.000019
30.800000,-0.000022
30.833333,-0.000006
30.866667,0.000028
30.900000,0.000071
30.933333,0.000114
30.966667,0.000141
31.000000,0.000144
31.033333,0.000118
31.066667,0.000069
31.100000,0.000009
31.133333,-0.000048
31.166667,-0.000089
31.200000,-0.000106
31.233333,-0.000100
31.266667,-0.000076
31.300000,-0.000045
31.333333,-0.000020
31.366667,-0.000005
31.400000,-0.000001
31.433333,-0.000005
31.466667,-0.000008
31.500000,-0.000006
31.533333,0.000006
31.566667,0.000026
31.600000,0.000048
31.633333,0.000063
31.666667,0.000063
31.700000,0.000046
31.733333,0.000017
31.766667,-0.000017
31.800000,-0.000044
31.833333,-0.000059
31.866667,-0.000056
31.900000,-0.000040
31.933333,-0.000018
31.966667,-0.000000
32.000000,0.000007
32.033333,0.000001
32.066667,-0.000013
32.100000,-0.000028
32.133333,-0.000034
32.166667,-0.000029
32.200000,-0.000013
32.233333,0.000008
32.266667,0.000025
32.300000,0.000030
32.333333,0.000019
32.366667,-0.000004
32.400000,-0.000030
32.433333,-0.000046
32.466667,-0.000042
32.500000,-0.000015
32.533333,0.000028
32.566667,0.000076
32.600000,0.000112
32.633333,0.000124
32.666667,0.000105
32.700000,0.000057
32.733333,-0.000005
32.766667,-0.000064
32.800000,-0.000103
32.833333,-0.000112
32.866667,-0.000089
32.900000,-0.000041
32.933333,0.000018
32.966667,0.000069
33.000000,0.000100
33.033333,0.000103
33.066667,0.000079
33.100000,0.000037
33.133333,-0.000008
33.166667,-0.000045
33.200000,-0.000064
33.233333,-0.000061
33.266667,-0.000044
33.300000,-0.000022
33.333333,-0.000007
33.366667,-0.000004
33.400000,-0.000011
33.433333,-0.000023
33.466667,-0.000030
33.500000,-0.000026
33.533333,-0.000011
33.566667,0.000009
33.600000,0.000025
33.633333,0.000028
33.666667,0.000014
33.700000,-0.000015
33.733333,-0.000050
33.766667,-0.000078
33.800000,-0.000088
33.833333,-0.000075
33.866667,-0.000041
33.900000,0.000005
33.933333,0.000049
33.966667,0.000078
34.000000,0.000085
34.033333,0.000070
34.066667,0.000043
34.100000,0.000015
34.133333,0.000000
34.166667,0.000004
34.200000,0.000025
34.233333,0.000053
34.266667,0.000075
34.300000,0.000080
34.333333,0.000060
34.366667,0.000018
34.400000,-0.000037
34.433333,-0.000089
34.466667,-0.000123
34.500000,-0.000127
34.533333,-0.000101
34.566667,-0.000050
34.600000,0.000012
34.633333,0.000066
34.666667,0.000101
34.700000,0.000110
34.733333,0.000096
34.766667,0.000068
34.800000,0.000038
34.833333,0.000016
34.866667,0.000006
34.900000,0.000007
34.933333,0.000013
34.966667,0.000014
35.000000,0.000004
35.033333,-0.000018
35.066667,-0.000051
35.100000,-0.000085
35.133333,-0.000114
35.166667,-0.000131
35.200000,-0.000133
35.233333,-0.000123
35.266667,-0.000105
35.300000,-0.000087
35.333333,-0.000072
35.366667,-0.000060
35.400000,-0.000048
35.433333,-0.000028
35.466667,0.000005
35.500000,0.000052
35.533333,0.000108
35.566667,0.000164
35.600000,0.000207
35.633333,0.000227
35.666667,0.000215
35.700000,0.000173
35.733333,0.000110
35.766667,0.000039
35.800000,-0.000025
35.833333,-0.000067
35.866667,-0.000083
35.900000,-0.000074
35.933333,-0.000048
35.966667,-0.000019
36.000000,-0.000000
36.033333,0.000002
36.066667,-0.000011
36.100000,-0.000032
36.133333,-0.000053
36.166667,-0.000065
36.200000,-0.000065
36.233333,-0.000052
36.266667,-0.000036
36.300000,-0.000023
36.333333,-0.000019
36.366667,-0.000026
36.400000,-0.000036
36.433333,-0.000043
36.466667,-0.000039
36.500000,-0.000019
36.533333,0.000014
36.566667,0.000050
36.600000,0.000078
36.633333,0.000088
36.666667,0.000073
36.700000,0.000036
36.733333,-0.000013
36.766667,-0.000060
36.800000,-0.000091
36.833333,-0.000097
36.866667,-0.000078
36.900000,-0.000038
36.933333,0.000008
36.966667,0.000049
37.000000,0.000071
37.033333,0.000071
37.066667,0.000054
37.100000,0.000028
37.133333,0.000006
37.166667,-0.000005
37.200000,-0.000001
37.233333,0.000015
37.266667,0.000033
37.300000,0.000045
37.333333,0.000043
37.366667,0.000029
37.400000,0.000009
37.433333,-0.000008
37.466667,-0.000014
37.500000,-0.000005
37.533333,0.000015
37.566667,0.000040
37.600000,0.000059
37.633333,0.000063
37.666667,0.000048
37.700000,0.000015
37.733333,-0.000027
37.766667,-0.000067
37.800000,-0.000093
37.833333,-0.000100
37.866667,-0.000090
37.900000,-0.000070
37.933333,-0.000053
37.966667,-0.000046
38.000000,-0.000054
38.033333,-0.000071
38.066667,-0.000086
38.100000,-0.000087
38.133333,-0.000065
38.166667,-0.000021
38.200000,0.000039
38.233333,0.000101
38.266667,0.000150
38.300000,0.000172
38.333333,0.000161
38.366667,0.000119
38.400000,0.000058
38.433333,-0.000009
38.466667,-0.000065
38.500000,-0.000099
38.533333,-0.000105
38.566667,-0.000085
38.600000,-0.000048
38.633333,-0.000005
38.666667,0.000033
38.700000,0.000060
38.733333,0.000077
38.766667,0.000085
38.800000,0.000090
38.833333,0.000094
38.866667,0.000098
38.900000,0.000096
38.933333,0.000081
38.966667,0.000047
39.000000,-0.000008
39.033333,-0.000076
39.066667,-0.000146
39.100000,-0.000201
39.133333,-0.000226
39.166667,-0.000213
39.200000,-0.000166
39.233333,-0.000096
39.266667,-0.000019
39.300000,0.000045
39.333333,0.000084
39.366667,0.000093
39.400000,0.000077
39.433333,0.000050
39.466667,0.000026
39.500000,0.000016
39.533333,0.000025
39.566667,0.000049
39.600000,0.000076
39.633333,0.000094
39.666667,0.000092
39.700000,0.000067
39.733333,0.000024
39.766667,-0.000025
39.800000,-0.000067
39.833333,-0.000090
39.866667,-0.000089
39.900000,-0.000066
39.933333,-0.000031
39.966667,0.000004
40.000000,0.000029
40.033333,0.000040
40.066667,0.000038
40.100000,0.000032
40.133333,0.000028
40.166667,0.000031
40.200000,0.000039
40.233333,0.000046
40.266667,0.000046
40.300000,0.000031
40.333333,0.000002
40.366667,-0.000034
40.400000,-0.000065
40.433333,-0.000079
40.466667,-0.000070
40.500000,-0.000036
40.533333,0.000012
40.566667,0.000062
40.600000,0.000095
40.633333,0.000097
40.666667,0.000062
40.700000,-0.000007
40.733333,-0.000094
40.766667,-0.000177
40.800000,-0.000233
40.833333,-0.000245
40.866667,-0.000209
40.900000,-0.000129
40.933333,-0.000023
40.966667,0.000087
41.000000,0.000175
41.033333,0.000226
41.066667,0.000231
41.100000,0.000194
41.133333,0.000129
41.166667,0.000052
41.200000,-0.000020
41.233333,-0.000075
41.266667,-0.000107
41.300000,-0.000115
41.333333,-0.000105
41.366667,-0.000079
41.400000,-0.000042
41.433333,0.000003
41.466667,0.000053
41.500000,0.000103
41.533333,0.000145
41.566667,0.000172
41.600000,0.000174
